user_input,response,file_name,producto,etapa,timestamp
Consulta del cliente 42,Respuesta generada por Gemini para la consulta 42,screenshot_42.jpg,Seguro de Hogar,Finalizado,2025-07-27T06:24:54
Consulta del cliente 43,Respuesta generada por Gemini para la consulta 43,screenshot_43.jpg,Seguro de Vida,Cotización,2025-07-07T07:57:54
Consulta del cliente 44,Respuesta generada por Gemini para la consulta 44,screenshot_44.jpg,Seguro de Vida,Confirmación,2025-07-16T21:00:54
Consulta del cliente 45,Respuesta generada por Gemini para la consulta 45,screenshot_45.jpg,Seguro de Hogar,Formulario,2025-08-01T13:24:54
Consulta del cliente 46,Respuesta generada por Gemini para la consulta 46,screenshot_46.jpg,Seguro de Hogar,Finalizado,2025-07-05T12:09:54
Consulta del cliente 47,Respuesta generada por Gemini para la consulta 47,screenshot_47.jpg,Seguro de Salud,Confirmación,2025-07-20T07:51:54
Consulta del cliente 48,Respuesta generada por Gemini para la consulta 48,screenshot_48.jpg,Seguro de Vida,Finalizado,2025-07-11T04:38:54
Consulta del cliente 49,Respuesta generada por Gemini para la consulta 49,screenshot_49.jpg,Seguro de Auto,Confirmación,2025-07-10T03:33:54
Consulta del cliente 50,Respuesta generada por Gemini para la consulta 50,screenshot_50.jpg,Seguro de Salud,Formulario,2025-07-25T13:45:54
Consulta del cliente 51,Respuesta generada por Gemini para la consulta 51,screenshot_51.jpg,Seguro de Salud,Confirmación,2025-07-14T08:13:54
Consulta del cliente 52,Respuesta generada por Gemini para la consulta 52,screenshot_52.jpg,Seguro de Vida,Confirmación,2025-07-20T05:41:54
Consulta del cliente 53,Respuesta generada por Gemini para la consulta 53,screenshot_53.jpg,Seguro de Auto,Cotización,2025-07-13T22:23:54
Consulta del cliente 54,Respuesta generada por Gemini para la consulta 54,screenshot_54.jpg,Seguro de Salud,Formulario,2025-07-25T21:27:54
Consulta del cliente 55,Respuesta generada por Gemini para la consulta 55,screenshot_55.jpg,Seguro de Hogar,Pago,2025-07-10T07:31:54
Consulta del cliente 56,Respuesta generada por Gemini para la consulta 56,screenshot_56.jpg,Seguro de Hogar,Cotización,2025-07-20T06:31:54
Consulta del cliente 57,Respuesta generada por Gemini para la consulta 57,screenshot_57.jpg,Seguro de Hogar,Cotización,2025-07-27T15:03:54
Consulta del cliente 58,Respuesta generada por Gemini para la consulta 58,screenshot_58.jpg,Seguro de Salud,Formulario,2025-07-18T12:11:54
Consulta del cliente 59,Respuesta generada por Gemini para la consulta 59,screenshot_59.jpg,Seguro de Hogar,Finalizado,2025-07-14T04:11:54
Consulta del cliente 60,Respuesta generada por Gemini para la consulta 60,screenshot_60.jpg,Seguro de Auto,Pago,2025-07-22T19:14:54
Consulta del cliente 61,Respuesta generada por Gemini para la consulta 61,screenshot_61.jpg,Seguro de Hogar,Cotización,2025-07-07T15:55:54
Consulta del cliente 62,Respuesta generada por Gemini para la consulta 62,screenshot_62.jpg,Seguro de Auto,Formulario,2025-08-01T16:24:54
Consulta del cliente 63,Respuesta generada por Gemini para la consulta 63,screenshot_63.jpg,Seguro de Hogar,Confirmación,2025-08-01T23:07:54
Consulta del cliente 64,Respuesta generada por Gemini para la consulta 64,screenshot_64.jpg,Seguro de Auto,Finalizado,2025-07-14T01:55:54
Consulta del cliente 65,Respuesta generada por Gemini para la consulta 65,screenshot_65.jpg,Seguro de Auto,Finalizado,2025-07-12T22:12:54
Consulta del cliente 66,Respuesta generada por Gemini para la consulta 66,screenshot_66.jpg,Seguro de Salud,Confirmación,2025-07-11T00:01:54
Consulta del cliente 67,Respuesta generada por Gemini para la consulta 67,screenshot_67.jpg,Seguro de Hogar,Pago,2025-07-13T03:06:54
Consulta del cliente 68,Respuesta generada por Gemini para la consulta 68,screenshot_68.jpg,Seguro de Salud,Pago,2025-07-08T01:12:54
Consulta del cliente 69,Respuesta generada por Gemini para la consulta 69,screenshot_69.jpg,Seguro de Salud,Formulario,2025-07-12T12:15:54
Consulta del cliente 70,Respuesta generada por Gemini para la consulta 70,screenshot_70.jpg,Seguro de Salud,Cotización,2025-07-06T00:50:54
Consulta del cliente 71,Respuesta generada por Gemini para la consulta 71,screenshot_71.jpg,Seguro de Auto,Cotización,2025-07-31T22:24:54
Consulta del cliente 72,Respuesta generada por Gemini para la consulta 72,screenshot_72.jpg,Seguro de Salud,Finalizado,2025-07-22T17:31:54
Consulta del cliente 73,Respuesta generada por Gemini para la consulta 73,screenshot_73.jpg,Seguro de Auto,Finalizado,2025-07-12T13:22:54
Consulta del cliente 74,Respuesta generada por Gemini para la consulta 74,screenshot_74.jpg,Seguro de Hogar,Pago,2025-07-21T11:56:54
Consulta del cliente 75,Respuesta generada por Gemini para la consulta 75,screenshot_75.jpg,Seguro de Vida,Pago,2025-07-14T20:07:54
Consulta del cliente 76,Respuesta generada por Gemini para la consulta 76,screenshot_76.jpg,Seguro de Vida,Formulario,2025-07-24T18:46:54
Consulta del cliente 77,Respuesta generada por Gemini para la consulta 77,screenshot_77.jpg,Seguro de Salud,Cotización,2025-07-22T10:05:54
Consulta del cliente 78,Respuesta generada por Gemini para la consulta 78,screenshot_78.jpg,Seguro de Auto,Confirmación,2025-07-28T00:30:54
Consulta del cliente 79,Respuesta generada por Gemini para la consulta 79,screenshot_79.jpg,Seguro de Salud,Confirmación,2025-07-20T11:59:54
Consulta del cliente 80,Respuesta generada por Gemini para la consulta 80,screenshot_80.jpg,Seguro de Salud,Cotización,2025-07-17T05:52:54
Consulta del cliente 81,Respuesta generada por Gemini para la consulta 81,screenshot_81.jpg,Seguro de Auto,Confirmación,2025-07-27T12:21:54
Consulta del cliente 82,Respuesta generada por Gemini para la consulta 82,screenshot_82.jpg,Seguro de Auto,Confirmación,2025-07-20T18:48:54
Consulta del cliente 83,Respuesta generada por Gemini para la consulta 83,screenshot_83.jpg,Seguro de Hogar,Cotización,2025-07-29T11:09:54
Consulta del cliente 84,Respuesta generada por Gemini para la consulta 84,screenshot_84.jpg,Seguro de Hogar,Pago,2025-07-22T19:00:54
Consulta del cliente 85,Respuesta generada por Gemini para la consulta 85,screenshot_85.jpg,Seguro de Hogar,Cotización,2025-07-10T13:40:54
Consulta del cliente 86,Respuesta generada por Gemini para la consulta 86,screenshot_86.jpg,Seguro de Auto,Confirmación,2025-07-22T05:24:54
Consulta del cliente 87,Respuesta generada por Gemini para la consulta 87,screenshot_87.jpg,Seguro de Vida,Formulario,2025-07-12T10:43:54
Consulta del cliente 88,Respuesta generada por Gemini para la consulta 88,screenshot_88.jpg,Seguro de Auto,Cotización,2025-07-08T02:55:54
Consulta del cliente 89,Respuesta generada por Gemini para la consulta 89,screenshot_89.jpg,Seguro de Vida,Cotización,2025-07-21T05:01:54
Consulta del cliente 90,Respuesta generada por Gemini para la consulta 90,screenshot_90.jpg,Seguro de Hogar,Finalizado,2025-07-16T19:39:54
Consulta del cliente 91,Respuesta generada por Gemini para la consulta 91,screenshot_91.jpg,Seguro de Hogar,Finalizado,2025-07-10T07:54:54
Consulta del cliente 92,Respuesta generada por Gemini para la consulta 92,screenshot_92.jpg,Seguro de Hogar,Cotización,2025-07-21T21:51:54
Consulta del cliente 93,Respuesta generada por Gemini para la consulta 93,screenshot_93.jpg,Seguro de Vida,Pago,2025-07-26T18:00:54
Consulta del cliente 94,Respuesta generada por Gemini para la consulta 94,screenshot_94.jpg,Seguro de Auto,Cotización,2025-07-04T12:39:54
Consulta del cliente 95,Respuesta generada por Gemini para la consulta 95,screenshot_95.jpg,Seguro de Vida,Cotización,2025-07-17T16:51:54
Consulta del cliente 96,Respuesta generada por Gemini para la consulta 96,screenshot_96.jpg,Seguro de Vida,Cotización,2025-07-02T22:28:54
Consulta del cliente 97,Respuesta generada por Gemini para la consulta 97,screenshot_97.jpg,Seguro de Vida,Cotización,2025-07-26T14:43:54
Consulta del cliente 98,Respuesta generada por Gemini para la consulta 98,screenshot_98.jpg,Seguro de Salud,Finalizado,2025-07-07T01:01:54
Consulta del cliente 99,Respuesta generada por Gemini para la consulta 99,screenshot_99.jpg,Seguro de Hogar,Formulario,2025-07-14T16:27:54
Consulta del cliente 100,Respuesta generada por Gemini para la consulta 100,screenshot_100.jpg,Seguro de Hogar,Finalizado,2025-07-17T07:09:54
